pair_id,old_content_source,old_snapshot_ref,new_content_source,old_text_chars,new_text_chars,old_content_quality_pass,new_content_quality_pass
001cb53b16c607df87b6,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,474,3228,true,true
004d614e717e6cf84e19,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,1572,1464,true,true
00853681aa1108183968,git_history,1a80726074e26766353485bb4ba787372cadc467,live_fetch,948,2574,true,true
00d64736ed148f216535,unavailable,,repo_head,0,760,false,true
00f03d49daca0d2692d4,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,534,5023,true,true
00fa09a9cedcc9fd0768,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,4328,2612,true,true
010e6c850d34c5eb762f,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,3247,3072,true,true
0197e48921d188ed9419,unavailable,,live_fetch,0,1035,false,true
01b23220ba48a564831e,unavailable,,unavailable,0,0,false,false
01bae2941f127beacb85,unavailable,,live_fetch,0,1842,false,true
01e28b9ddf46396f5e2a,unavailable,,live_fetch,0,13439,false,true
01f98ecac95ed598cbeb,unavailable,,live_fetch,0,8066,false,true
02889599579c92896fa8,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,546,1738,true,true
0293d463a0d4b9ea0219,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,8054,2612,true,true
0298ecd8cb6702312664,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,487,14660,true,true
02eaa3001fdc29386822,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,487,1352,true,true
02ed5c29b5cc187afe9e,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,8054,2612,true,true
0300474bd4a6c40be5a8,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,1476,951,true,true
0314596dc31f9992764f,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,8054,2612,true,true
035378592a6dd15192f8,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,8054,2612,true,true
037262bb7b7ca6a13092,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,487,4147,true,true
03f60c72b6a795b01279,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,1247,1680,true,true
04165d74cedea7285298,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,4328,2612,true,true
0439637d1accdf67cc97,unavailable,,live_fetch,0,9307,false,true
04713758e4327137f272,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,550,893,true,true
0473600a4f88dc268f62,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,6204,10075,true,true
04ca74ad1f6332b0cecf,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,8054,2612,true,true
04de8b1b5f816036a2bc,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,4328,2612,true,true
04e2a742e1a26cf006a4,git_history,1a80726074e26766353485bb4ba787372cadc467,live_fetch,699,963,true,true
05283c511ee27b79b39b,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,8054,2612,true,true
054944f3f05fa5083bdc,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,534,8714,true,true
05ce0be692b0dad98a06,unavailable,,unavailable,0,0,false,false
0606b0094ec609100f24,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,2748,2861,true,true
066bb039d6ff9bb1988e,unavailable,,live_fetch,0,1536,false,true
0777eeeaff625da13101,git_history,080d7fc39e311195462c7dd449fa6c246bdd8c76,live_fetch,4328,2612,true,true
07beaaf21d2dbefb93b0,git_history,1a80726074e26766353485bb4ba787372cadc467,live_fetch,2082,8514,true,true
081586ce9f497e92dc59,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,474,2260,true,true
081a3d765b551c35808f,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,1181,6590,true,true
0829a3f8668fedf8090a,git_history,df96bb0aa487ee20c2a537f93c8d7e902cf56963,live_fetch,474,951,true,true
